('011010000', '000101100'): 0
('100000011', '000101100'): 4
('100010001', '000101100'): 6
('100010010', '000101100'): 0
('101000001', '000101100'): 4
('101000010', '000101100'): 4
('101010000', '000101100'): 0
('110000001', '000101100'): 6
('110000010', '000101100'): 6
('110010000', '000101100'): 6
('111000000', '000101100'): 4
('011010010', '000101101'): None
('101010010', '000101101'): None
('110010010', '000101101'): None
('111000010', '000101101'): None
('111010000', '000101101'): None
('011010001', '000101110'): None
('101010001', '000101110'): None
('110010001', '000101110'): None
('111000001', '000101110'): None
('111010000', '000101110'): None
('000000011', '000110000'): 8
('000000101', '000110000'): 8
('000000110', '000110000'): 8
('000001001', '000110000'): 8
('000001010', '000110000'): 8
('000001100', '000110000'): 8
('001000001', '000110000'): 8
('001000010', '000110000'): 7
('001000100', '000110000'): 8
('001001000', '000110000'): 8
('010000001', '000110000'): 6
('010000010', '000110000'): 6
('010000100', '000110000'): 8
('010001000', '000110000'): 8
('011000000', '000110000'): 3
('100000001', '000110000'): 7
('100000010', '000110000'): 7
('100000100', '000110000'): 7
('100001000', '000110000'): 7
('101000000', '000110000'): 7
('110000000', '000110000'): 3
('000001110', '000110001'): 8
('001000110', '000110001'): 8
('001001010', '000110001'): 8
('001001100', '000110001'): 8
('010000110', '000110001'): 6
('010001010', '000110001'): 2
('010001100', '000110001'): 6
('011000010', '000110001'): 2
('011000100', '000110001'): 8
('011001000', '000110001'): 2
('100000110', '000110001'): 6
('100001010', '000110001'): 2
('100001100', '000110001'): 6
('101000010', '000110001'): 2
('101000100', '000110001'): 1
('101001000', '000110001'): 2
('110000010', '000110001'): 6
('110000100', '000110001'): 6
('110001000', '000110001'): 2
('111000000', '000110001'): 2
('000001101', '000110010'): 8
('001000101', '000110010'): 8
('001001001', '000110010'): 8
('001001100', '000110010'): 8
('010000101', '000110010'): 6
('010001001', '000110010'): 2
('010001100', '000110010'): 0
('011000001', '000110010'): 2
('011000100', '000110010'): 0
('011001000', '000110010'): 0
('100000101', '000110010'): 6
('100001001', '000110010'): 2
('100001100', '000110010'): 0
('101000001', '000110010'): 2
('101000100', '000110010'): 0
('101001000', '000110010'): 0
('110000001', '000110010'): 3
('110000100', '000110010'): 3
('110001000', '000110010'): 2
('111000000', '000110010'): 0
('011001100', '000110011'): None
('101001100', '000110011'): None
('110001100', '000110011'): None
('111000100', '000110011'): None
('111001000', '000110011'): None
('000001011', '000110100'): 8
('001000011', '000110100'): 8
('001001001', '000110100'): 8
('001001010', '000110100'): 8
('010000011', '000110100'): 6
('010001001', '000110100'): 6
('010001010', '000110100'): 0
('011000001', '000110100'): 8
('011000010', '000110100'): 0
('011001000', '000110100'): 0
('100000011', '000110100'): 6
('100001001', '000110100'): 6
('100001010', '000110100'): 0
('101000001', '000110100'): 1
('101000010', '000110100'): 0
('101001000', '000110100'): 0
('110000001', '000110100'): 3
('110000010', '000110100'): 3
('110001000', '000110100'): 6
('111000000', '000110100'): 0
('011001010', '000110101'): None
('101001010', '000110101'): None
('110001010', '000110101'): None
('111000010', '000110101'): None
('111001000', '000110101'): None
('011001001', '000110110'): None
('101001001', '000110110'): None
('110001001', '000110110'): None
('111000001', '000110110'): None
('111001000', '000110110'): None
('000000111', '000111000'): 8
('001000011', '000111000'): 8
('001000101', '000111000'): 8
('001000110', '000111000'): 8
('010000011', '000111000'): 2
('010000101', '000111000'): 6
('010000110', '000111000'): 0
('011000001', '000111000'): 2
('011000010', '000111000'): 0
('011000100', '000111000'): 0
('100000011', '000111000'): 2
('100000101', '000111000'): 6
('100000110', '000111000'): 0
('101000001', '000111000'): 2
('101000010', '000111000'): 0
('101000100', '000111000'): 0
('110000001', '000111000'): 6
('110000010', '000111000'): 6
('110000100', '000111000'): 6
('111000000', '000111000'): 0
('011000110', '000111001'): None
('101000110', '000111001'): None
('110000110', '000111001'): None
('111000010', '000111001'): None
('111000100', '000111001'): None
('011000101', '000111010'): None
('101000101', '000111010'): None
('110000101', '000111010'): None
('111000001', '000111010'): None
('111000100', '000111010'): None
('011000011', '000111100'): None
('101000011', '000111100'): None
('110000011', '000111100'): None
('111000001', '000111100'): None
('111000010', '000111100'): None
('000000001', '001000000'): 7
('000000010', '001000000'): 8
('000000100', '001000000'): 7
('000001000', '001000000'): 7
('000010000', '001000000'): 8
('000100000', '001000000'): 7
('010000000', '001000000'): 5
('100000000', '001000000'): 5
('000000110', '001000001'): 8
('000001010', '001000001'): 8
('000001100', '001000001'): 8
('000010010', '001000001'): 8
('000010100', '001000001'): 8
('000011000', '001000001'): 8
('000100010', '001000001'): 8
('000100100', '001000001'): 8
('000101000', '001000001'): 8
('000110000', '001000001'): 8
('010000010', '001000001'): 5
('010000100', '001000001'): 8
('010001000', '001000001'): 5
('010010000', '001000001'): 5
('010100000', '001000001'): 4
('100000010', '001000001'): 7
('100000100', '001000001'): 7
('100001000', '001000001'): 7
('100010000', '001000001'): 7
('100100000', '001000001'): 7
('110000000', '001000001'): 5
('000000101', '001000010'): 8
('000001001', '001000010'): 8
('000001100', '001000010'): 8
('000010001', '001000010'): 8
('000010100', '001000010'): 8
('000011000', '001000010'): 8
('000100001', '001000010'): 8
('000100100', '001000010'): 8
('000101000', '001000010'): 8
('000110000', '001000010'): 8
('010000001', '001000010'): 5
('010000100', '001000010'): 5
('010001000', '001000010'): 5
('010010000', '001000010'): 5
('010100000', '001000010'): 4
('100000001', '001000010'): 7
('100000100', '001000010'): 7
('100001000', '001000010'): 7
('100010000', '001000010'): 7
('100100000', '001000010'): 7
('110000000', '001000010'): 5
('000011100', '001000011'): 8
('000101100', '001000011'): 4
('000110100', '001000011'): 8
('000111000', '001000011'): 8
('010001100', '001000011'): 4
('010010100', '001000011'): 8
('010011000', '001000011'): 2
('010100100', '001000011'): 4
('010101000', '001000011'): 4
('010110000', '001000011'): 2
('100001100', '001000011'): 4
('100010100', '001000011'): 3
('100011000', '001000011'): 2
('100100100', '001000011'): 4
('100101000', '001000011'): 4
('100110000', '001000011'): 2
('110000100', '001000011'): 5
('110001000', '001000011'): 5
('110010000', '001000011'): 5
('110100000', '001000011'): 3
('000000011', '001000100'): 8
('000001001', '001000100'): 8
('000001010', '001000100'): 8
('000010001', '001000100'): 8
('000010010', '001000100'): 8
('000011000', '001000100'): 8
('000100001', '001000100'): 8
('000100010', '001000100'): 8
('000101000', '001000100'): 8
('000110000', '001000100'): 8
('010000001', '001000100'): 5
('010000010', '001000100'): 5
('010001000', '001000100'): 5
('010010000', '001000100'): 5
('010100000', '001000100'): 8
('100000001', '001000100'): 7
('100000010', '001000100'): 7
('100001000', '001000100'): 7
('100010000', '001000100'): 7
('100100000', '001000100'): 7
('110000000', '001000100'): 1
('000011010', '001000101'): 8
('000101010', '001000101'): 4
('000110010', '001000101'): 8
('000111000', '001000101'): 8
('010001010', '001000101'): 4
('010010010', '001000101'): 8
('010011000', '001000101'): 8
('010100010', '001000101'): 4
('010101000', '001000101'): 4
('010110000', '001000101'): 8
('100001010', '001000101'): 4
('100010010', '001000101'): 3
('100011000', '001000101'): 1
('100100010', '001000101'): 4
('100101000', '001000101'): 4
('100110000', '001000101'): 1
('110000010', '001000101'): 5
('110001000', '001000101'): 5
('110010000', '001000101'): 5
('110100000', '001000101'): 3
('000011001', '001000110'): 8
('000101001', '001000110'): 4
('000110001', '001000110'): 8
('000111000', '001000110'): 8
('010001001', '001000110'): 4
('010010001', '001000110'): 5
('010011000', '001000110'): 0
('010100001', '001000110'): 4
('010101000', '001000110'): 4
('010110000', '001000110'): 0
('100001001', '001000110'): 4
('100010001', '001000110'): 3
('100011000', '001000110'): 0
('100100001', '001000110'): 4
('100101000', '001000110'): 4
('100110000', '001000110'): 0
('110000001', '001000110'): 5
('110001000', '001000110'): 5
('110010000', '001000110'): 5
('110100000', '001000110'): 3
('010111000', '001000111'): None
('100111000', '001000111'): None
('110011000', '001000111'): None
('110101000', '001000111'): None
('110110000', '001000111'): None
('000000011', '001001000'): 8
('000000101', '001001000'): 8
('000000110', '001001000'): 8
('000010001', '001001000'): 8
('000010010', '001001000'): 8
('000010100', '001001000'): 8
('000100001', '001001000'): 8
('000100010', '001001000'): 8
('000100100', '001001000'): 8
('000110000', '001001000'): 8
('010000001', '001001000'): 4
('010000010', '001001000'): 5
('010000100', '001001000'): 8
('010010000', '001001000'): 8
('010100000', '001001000'): 8
('100000001', '001001000'): 7
('100000010', '001001000'): 7
('100000100', '001001000'): 7
('100010000', '001001000'): 7
('100100000', '001001000'): 7
('110000000', '001001000'): 5
('000010110', '001001001'): 8
('000100110', '001001001'): 4
('000110010', '001001001'): 8
('000110100', '001001001'): 8
('010000110', '001001001'): 4
('010010010', '001001001'): 2
('010010100', '001001001'): 8
('010100010', '001001001'): 4
('010100100', '001001001'): 4
